,siren,departement,date_publication,activite_déclarée,code_ape,activte_insee,code_postal
20,892446337,06,2021-01-08,"L'acquisition, en état futur d'achèvement ou achevés, l'apport, la propriété, la mise en valeur, la transformation, la construction, l'aménagement, l'administration, la location, la location en meublé professionnel, et la vente (exceptionnelle) de tous biens et droits immobiliers, ainsi que de tous biens et droits pouvant constituer l'accessoire, l'annexe ou le complément des biens et droits immobiliers en question",68.20B,Location de terrains et d'autres biens immobiliers,non renseigne
21,892410671,06,2021-01-08,"Acquisition, apport, la propriété, la mise en valeur, la transformation, la construction, l'aménagement, l'administration, la location et la vente de tous biens et droits immobiliers.",68.20B,Location de terrains et d'autres biens immobiliers,non renseigne
22,892478355,06,2021-01-08,"L'activité de loueur en meublé non professionnel. La location, en meublé à titre habituel, de chambres et appartements.",55.10Z,Hôtels et hébergement similaire,non renseigne
23,892498452,06,2021-01-08,"Acquisition, administration, gestion par bail, location, vente ou autrement de tous immeubles et biens immobiliers et notamment l'acquisition des biens et droits immobiliers sis à GRASSE 06130, 49 Bis route de la Marigarde, Lieudit Quartier de la Madeleine lot numéro 8 de la ZI du carré.",68.20B,Location de terrains et d'autres biens immobiliers,non renseigne
24,892421439,06,2021-01-08,"La gestion et l'administration de l'immeuble faisant l'objet de l'apport savoir une propriété à GRASSE 06130, 102 Chemin des Basses Ribes et plus généralement l'acquisition , l'apport, la propriété, la mise en valeur, la transformation, la construction, l'aménagement, l'administration, la location et la vente de tous biens et droits immobiliers, ainsi que tous biens et droits pouvant constituer l'accessoire, l'annexe ou le complément des biens et droits immobiliers en question",68.20B,Location de terrains et d'autres biens immobiliers,non renseigne
25,892460924,06,2021-01-08,"L'achat, la vente, la construction, la gestion et la location de tous biens immobiliers",68.20B,Location de terrains et d'autres biens immobiliers,non renseigne
26,892511056,06,2021-01-08,non renseignee,70.10Z,Activités des sièges sociaux,non renseigne
27,892446436,06,2021-01-08,"Tous travaux de rénovation intérieure et extérieure, notamment maçonnerie, électricité, plomberie et revêtement des sols et murs Tous travaux de rénovation intérieure et extérieure, notamment maçonnerie, électricité, plomberie et revêtement des sols et murs, courtage en travaux, conseils et management de projet",41.20A,Construction de maisons individuelles,non renseigne
28,892481391,06,2021-01-08,"Vente de produits capillaires tout public, y compris professionnels, produits de beauté et accessoires beauté",47.75Z,Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé,non renseigne
29,892408162,06,2021-01-08,"L'acquisition, la construction, l'édification, la propriété, la location de tous immeubles, tous tènements immobiliers, parkings ; la location en meublé ou non meublé, d'espaces nus ; la location d'espaces aménagés ; la gestion, la propriété, l'administration et la disposition des biens qui pourront devenir sa propriété, par voie d'acquisition, échange, apport, construction, bail à construction ou autrement. La mise en valeur de ces immeubles notamment par la démolition et reconstruction.",68.20B,Location de terrains et d'autres biens immobiliers,non renseigne
30,892451519,06,2021-01-08,"Acquisition, propriété, gestion de tous immeubles ou droits immobiliers.",68.20B,Location de terrains et d'autres biens immobiliers,non renseigne
31,892446253,06,2021-01-08,non renseignee,70.10Z,Activités des sièges sociaux,non renseigne
32,892482001,06,2021-01-08,"Acquisition, apport, propriété, mise en valeur, transformation, construction, aménagement, administration, location et vente (exceptionnelle) de tous biens et droits immobiliers, et leurs accessoires, annexes ou compléments. Le tout au moyen de ses capitaux propres ou de capitaux d'emprunt, ainsi que de l'octroi, à titre accessoire et exceptionnel, de toutes garanties à des opérations conformes au présent objet civil et susceptibles d'en favoriser le développement.",68.20B,Location de terrains et d'autres biens immobiliers,non renseigne
33,892479411,06,2021-01-08,Acquisition et locations de biens immobiliers.,68.20B,Location de terrains et d'autres biens immobiliers,non renseigne
34,892499153,06,2021-01-08,"Location immobilière, promotion, vente.",68.20B,Location de terrains et d'autres biens immobiliers,non renseigne
35,325042612,06,2021-01-08,aucune activite,66.22Z,Activités des agents et courtiers d'assurances,06130
36,382105070,06,2021-01-08,non renseignee,68.20A,Location de logements,non renseigne
37,830176012,06,2021-01-08,non renseignee,68.10Z,Activités des marchands de biens immobiliers,non renseigne
38,843953837,06,2021-01-08,non renseignee,71.20B,"Analyses, essais et inspections techniques",non renseigne
39,344575089,06,2021-01-08,non renseignee,68.20B,Location de terrains et d'autres biens immobiliers,non renseigne
40,430019372,08,2021-01-08,"Dépannage informatique, dératisation et destruction nid de guêpes et frelons, pose d'enseignes et adhésifs.",APE Non Diffusable,APE Non Diffusable,08150
41,892489683,08,2021-01-08,"Le courtage en assurances et assurances de prêts, l'audit et le conseil en protection sociale (prévoyance, retraite...), L'audit et le conseil en stratégie de rémunération. La distribution et la commercialisation de contrats d'assurances, d'assurance-vie, de santé, de prévoyance, de retraite et de tous produits et services de protection sociale, la vente de produits d'assurance à distance, Plateforme téléphonique avec prise de rendez-vous par téléphone et la vente de produits d'assurance à distance.",65.12Z,Autres assurances,08000
42,892453671,08,2021-01-08,"Acquisition, propriété, vente.",68.20B,Location de terrains et d'autres biens immobiliers,08140
43,892451337,08,2021-01-08,Exercice en commun de la profession de vétérinaire.,75.00Z,Activités vétérinaires,08410
44,891357964,26,2021-01-08,"Restaurant, glacier, salon de thé, plats cuisinés à emporter.",56.10A,Restauration traditionnelle,26230
45,382456051,27,2021-01-08,Vente de prêt à porter et tous accessoires s'y rapportant et plus généralement équipement de la personne,46.42Z,Commerce de gros (commerce interentreprises) d'habillement et de chaussures,27500
46,443061304,27,2021-01-08,Prêt à porter mixte et accessoires s'y rapportant,46.19A,Centrales d'achat non alimentaires,27500
47,410146468,27,2021-01-08,Vente de prêt à porter et tous accessoires s'y rapportant et plus généralement équipement de la personne,46.42Z,Commerce de gros (commerce interentreprises) d'habillement et de chaussures,27500
48,892435751,33,2021-01-08,Livraison de repas à domicile avec vélo,53.20Z,Autres activités de poste et de courrier,33500
49,892443029,33,2021-01-08,Le commerce de détail alimentaires en magasin spécialisé dans le domaine de la diététique,47.11B,Commerce d'alimentation générale,33500
50,892410085,33,2021-01-08,La maintenance des infrastructures du réseau de fibre optique. L'installation et la maintenance des réseaux fibre et cuivre liés aux Télécoms,61.90Z,Autres activités de télécommunication,33133
51,892441874,33,2021-01-08,"Expertises bâtiment, vérifications et études techniques, contrôle des normes en vigueur, identification des désordres, malfaçons, assistance client, estimation de travaux, pathologie du bâtiment, maîtrise d'œuvre et plus généralement toute activité liée au bâtiment.",71.12B,"Ingénierie, études techniques",33390
52,432269231,33,2021-01-08,L acquisition la propriété L administration la réfection la mise en valeur L installation et L exploitation par bail location ou autrement de tous immeubles et droits immobiliers dont la société pourrait devenir propriétaire ultérieurement par voie D acquisition D échange D apport ou autrement et notamment L acquisition D un ensemble immobilier sis a St Bueil 38,68.20B,Location de terrains et d'autres biens immobiliers,33220
53,891341901,37,2021-01-08,"Achat, revente de pneus d'occasion et neuf ; montage, rééquilibrage de pneus, contrôle du parallélisme ; mécanique automobile ; petit entretien automobile ; vente de produits d'entretien et accessoires.",45.20A,Entretien et réparation de véhicules automobiles légers,37210
54,892476201,37,2021-01-08,"Livraison à vélo de repas, plis et colis",APE Non Diffusable,APE Non Diffusable,37200
55,823657184,37,2021-01-08,Coursier à vélo,53.20Z,Autres activités de poste et de courrier,37300
56,342872009,37,2021-01-08,Réalisation de clips vidéos,59.11B,Production de films institutionnels et publicitaires,37530
57,892456393,37,2021-01-08,Achat-Vente de véhicules d'occasion,45.11Z,Commerce de voitures et de véhicules automobiles légers,37000
58,892450214,37,2021-01-08,Livraison de repas et de course à domicile à vélo,53.20Z,Autres activités de poste et de courrier,37300
59,891842890,37,2021-01-08,"Institut de soins bien-être avec des méthodes de nouvelle génération, massage bien être, vente de produits liés à L'acivité",96.09Z,Autres services personnels n.c.a.,37550
60,892434598,37,2021-01-08,"Achat et vente neufs et usagés, importation et exportation de tous produits manufacturés alimentaires et non alimentaires non réglementés.",46.19B,Autres intermédiaires du commerce en produits divers,37100
61,892439936,37,2021-01-08,"L'acquisition, par voie d'achat, d'apport ou autrement, la détention, l'administration, la restauration et/ou la construction de tous immeubles bâtis et/ou non bâtis, leur mise à disposition au bénéfice de tout ou partie des associés et/ou leur mise en location",68.20B,Location de terrains et d'autres biens immobiliers,37600
62,892447616,37,2021-01-08,"Le lavage, nettoyage et entretien Écoresponsables de tous types de véhicules, bâtiments et locaux auprès de professionnels, particuliers, communes et collectivités, la commercialisation, la vente, la distribution et l'exploitation de produits et services Écoresponsables annexes et complémentaires, la participation de la société, par tous moyens, à toutes entreprises ou sociétés créées ou à créer pouvant se rattacher à l'objet social, notamment par voie de création de sociétés nouvelles, d'apport",45.20A,Entretien et réparation de véhicules automobiles légers,37000
63,892476227,37,2021-01-08,"L'acquisition, en état futur d'achèvement ou achevés, la propriété, la mise en valeur, la transformation, la construction, l'aménagement, l'administration, la location et la vente (exceptionnelle) de tous biens et droits immobiliers, ainsi que tous biens et droits pouvant constituer l'accessoire, l'annexe ou le complément des biens et droits immobiliers en question",68.20B,Location de terrains et d'autres biens immobiliers,37260
64,892482662,37,2021-01-08,"Acquisition, gestion et vente de tous biens Mmobiliers",68.20B,Location de terrains et d'autres biens immobiliers,37000
65,892454026,37,2021-01-08,Administration de biens immobiliers,68.32A,Administration d'immeubles et autres biens immobiliers,37290
66,892456351,37,2021-01-08,Propriété et gestion de tous immeubles. Administration et exploitation par bail,68.20B,Location de terrains et d'autres biens immobiliers,37210
67,892446709,37,2021-01-08,"L'acquisition, en état futur d'achèvement ou achevés, l'apport, la propriété, la mise en valeur, la transformation, la construction, l'aménagement, l'administration, la location de tous biens et droits immobiliers, ainsi que de tous biens et droits pouvant constituer l'accessoire, l'annexe ou le complément des biens et droits immobiliers en question",68.20B,Location de terrains et d'autres biens immobiliers,37140
68,851259036,37,2021-01-08,Plomberie - embellissement,43.22A,Travaux d'installation d'eau et de gaz en tous locaux,37000
69,522842798,37,2021-01-08,La prestation d'organisation de missions de prospection d'étude de marche de formation de gestion administrative de recherche de partenaires commerciaux industriels tant a l'étranger qu'en france,73.20Z,Études de marché et sondages,37000
70,499990638,37,2021-01-08,"Acquisition, administration et gestion par location ou autrement de tous immeubles et biens immobiliers et plus généralement toutes opérations financières, mobilières et immobilières.",68.20B,Location de terrains et d'autres biens immobiliers,37340
71,481059863,42,2021-01-08,"Pain, pâtisserie, sandwichs et boissons non-alcoolisées, ce fonds sera transformé pour l'exercice de l'activité de boucherie-charcuterie.",47.22Z,Commerce de détail de viandes et de produits à base de viande en magasin spécialisé,42000
72,891182925,43,2021-01-08,"Transport public routier de marchandises, location de véhicules industriels avec ou sans conducteur au moyen de véhicules de tous tonnages.",49.41A,Transports routiers de fret interurbains,43800
73,892451964,44,2021-01-08,Vente en ligne vêtements de nuit,47.91B,Vente à distance sur catalogue spécialisé,44300
74,790056576,44,2021-01-08,Achat-Vente de véhicules d'occasion,45.11Z,Commerce de voitures et de véhicules automobiles légers,44800
75,892442310,44,2021-01-08,Livraison de repas à domicile en vélo,56.10C,Restauration de type rapide,44100
76,892439829,44,2021-01-08,"Livraisons à vélo de repas, plis et colis",53.20Z,Autres activités de poste et de courrier,44200
77,822917662,44,2021-01-08,"Commerce de détail sur internet de créations de créateurs et artisans: vaisselle, papeterie, vêtements, bijoux, accessoires pour enfants.",47.91A,Vente à distance sur catalogue général,44800
78,892451535,44,2021-01-08,Convoyage véhicule sans transport marchandise ni personne,49.41A,Transports routiers de fret interurbains,44200
79,892441395,44,2021-01-08,Coursier à vélo,53.20Z,Autres activités de poste et de courrier,44200
80,892582644,44,2021-01-08,Service de livraisons à domicile à vélo de produits alimentaires sans préparation de repas,53.20Z,Autres activités de poste et de courrier,44800
81,892454356,44,2021-01-08,Service de livraisons à domicile à vélo de produits alimentaires sans préparation de repas,53.20Z,Autres activités de poste et de courrier,44100
82,413537432,44,2021-01-08,Achat revente de matériels agricoles d'occasion,01.50Z,Culture et élevage associés,44650
83,803144187,44,2021-01-08,Achat revente véhicule d'occasions,45.11Z,Commerce de voitures et de véhicules automobiles légers,44690
84,892446071,44,2021-01-08,"L'acquisition et la gestion de valeurs mobilières ou parts sociales et de tous autres instruments ou produits financiers, en pleine propriété, en usufruit ou en nue-propriété, côtés ou non côtés en bourse, français ou étranger.",66.30Z,Gestion de fonds,44470
85,892458910,44,2021-01-08,Edition et commercialisation de livres ou de documents mis en page,58.11Z,Édition de livres,44300
86,892453689,44,2021-01-08,"Restauration traditionnelle et rapide (sans vente de boissons alcoolisées), brasserie, traiteur, plats à emporter et tous types d'activités liées à la restauration (vente sur marchés)",56.10A,Restauration traditionnelle,44200
87,892442922,44,2021-01-08,"Édition et publication de services informatiques mettant en relation des professionnels avec des particuliers ou professionnels pour la collecte de stocks de Tlc (textile d'habillement, linges et chaussures)",63.11Z,"Traitement de données, hébergement et activités connexes",44000
88,892445685,44,2021-01-08,"L'acquisition et la gestion de valeurs mobilières ou parts sociales et de tous autres instruments ou produits financiers, en pleine propriété, en usufruit ou en nue-propriété, côtés ou non côtés en bourse, français ou étranger.",66.30Z,Gestion de fonds,44470
89,892481367,44,2021-01-08,"L'achat, la propriété, la construction et la vente de tous biens immeubles bâtis ou non et leur exploitation directe ou indirecte",68.20B,Location de terrains et d'autres biens immobiliers,44300
90,892479643,44,2021-01-08,"La prise de participation, l'acquisition, la gestion et la vente de valeurs mobilières et parts d'intérêts dans toutes sociétés et entreprises. Activités liées à la direction de société, réalisation de prestations de services",82.11Z,Services administratifs combinés de bureau,44300
91,892451600,44,2021-01-08,non renseignee,70.10Z,Activités des sièges sociaux,non renseigne
92,892444589,44,2021-01-08,"L'acquisition et la gestion de valeurs mobilières ou parts sociales et de tous autres instruments ou produits financiers, en pleine propriété, en usufruit ou en nue-propriété, côtés ou non côtés en bourse, français ou étranger.",66.30Z,Gestion de fonds,44470
93,892457094,44,2021-01-08,"La propriété, l'administration et l'exploitation par bail, location ou autrement et exceptionnellement la vente de tous biens immobiliers bâtis ou non bâtis.",68.20B,Location de terrains et d'autres biens immobiliers,44000
94,892514514,44,2021-01-08,Tapissier et décorateur d'ameublement couture d'ameublement menuiserie agencements intérieurs et extérieurs ossature bois ébénisterie,31.09B,Fabrication d’autres meubles et industries connexes de l’ameublement,44350
95,890715899,44,2021-01-08,"Bar, brasserie, glacier, débit de boissons et toutes activités s'y rapportant.",70.10Z,Activités des sièges sociaux,44250
96,850261389,44,2021-01-08,Livraison de repas a domicile à vélo,53.20Z,Autres activités de poste et de courrier,44600
97,332423797,44,2021-01-08,Apporteur d'affaires dans le bâtiment,82.99Z,Autres activités de soutien aux entreprises n.c.a.,44740
98,521889261,44,2021-01-08,Achat vente au détail de produits non alimentaires,47.19B,Autres commerces de détail en magasin non spécialisé,44550
99,892451402,44,2021-01-08,"La prise de tous intérêts et participations par tous moyens : apports, souscriptions, achats d'actions, d'obligations et de tous droits sociaux, dans toute société commerciale ou civile, affaire ou entreprise. L'acquisition, la propriété, la gestion, la cession de tout compte d'instrument financier, contrat de capitalisation, parts de fonds commun de placement, parts de fonds commun de placement, parts de fonds professionnel de capital investissement, et de tout placement financier.",66.30Z,Gestion de fonds,44720
100,891837940,45,2021-01-08,"Agence immobilière transaction immobilière et commerciale, location meublée et vide, gestion locative, conciergerie immobilière, syndic. En france et à l'étranger",APE Non Diffusable,APE Non Diffusable,45160
101,839189446,45,2021-01-08,"Vente de marchandises diverses alimentaires et non alimentaires sur marchés, jardinage, élagage",47.89Z,Autres commerces de détail sur éventaires et marchés,45100
102,892462813,45,2021-01-08,Achat vente de véhicule d'occasion achats revente de véhicules légers ne Dépasant pas 3t5 utilitaires et de tourisme achat revente de pièces détachées automobile.,45.11Z,Commerce de voitures et de véhicules automobiles légers,45210
103,892461146,45,2021-01-08,Commerce de voitures et de véhicules automobiles commerce d'équipements automobiles nettoyage automobile,45.11Z,Commerce de voitures et de véhicules automobiles légers,45000
104,892459454,45,2021-01-08,Livraison de repas par véhicule non motorisé,53.20Z,Autres activités de poste et de courrier,45000
105,892450370,45,2021-01-08,non renseignee,70.10Z,Activités des sièges sociaux,non renseigne
106,892449703,45,2021-01-08,non renseignee,70.10Z,Activités des sièges sociaux,non renseigne
107,892462391,45,2021-01-08,non renseignee,70.10Z,Activités des sièges sociaux,non renseigne
108,892458829,45,2021-01-08,non renseignee,70.10Z,Activités des sièges sociaux,non renseigne
109,889504924,45,2021-01-08,"Pose et installation d'isolation thermique et acoustique par soufflage isolation thermique par intérieur, isolation thermique par extérieur (technicité courante) Vmc Calorifugeage, pose et installation de pompe a chaleur, génie climatique, chauffage chaudière,négoce en produit Btp",43.29A,Travaux d'isolation,45000
110,890337686,56,2021-01-08,"Restauration sur place ou à emporter, bar licence IV, pizzérai",56.10A,Restauration traditionnelle,56190
111,890949647,56,2021-01-08,Livraison de repas à domicile à vélo.,APE Non Diffusable,APE Non Diffusable,56000
112,515344349,56,2021-01-08,Agent général d'assurances et courtier en assurances.,66.22Z,Activités des agents et courtiers d'assurances,56190
113,891904369,56,2021-01-08,"Entreprise de travaux agricoles, location de matériel sans chauffeur, réalisation de prestations avec le matériel du client.",01.61Z,Activités de soutien aux cultures,56490
114,892616202,56,2021-01-08,"Souscription, acquisition de tous titres sociaux et de toutes participations; gestion du portefeuille des titres sociaux et participations et leur éventuelle aliénation. Toutes prestations de gestion et de services au profit de ses filiales ou entreprises alliées.",64.20Z,Activités des sociétés holding,56420
115,891709651,56,2021-01-08,"L'achat, revente de plants de pommes de terre et plus généralement l'activité commerciale de négoce. Production et commercialisation d'énergie photovoltaïque.",47.91B,Vente à distance sur catalogue spécialisé,56490
116,892560566,56,2021-01-08,La location de courte durée et achat-revente de véhicules automobiles. La vente de tout matériel et équipement. Le conseil aux entreprises.,77.11A,Location de courte durée de voitures et de véhicules automobiles légers,56190
117,494141971,56,2021-01-08,"Propriété et gestion, à titre civil, de l'immeuble sis à Morsalines (Manche), au Rivage, cadastré Sect.A, N°068, 632 et 633. L'entretien et la gestion du chemin desservant, à partir de la route N°216E3, l'immeuble sus désigné.",68.20B,Location de terrains et d'autres biens immobiliers,56000
118,528280795,56,2021-01-08,"Acquisition, administration et exploitation par bail, location ou autrement, de tous immeubles bâtis ou non",68.20B,Location de terrains et d'autres biens immobiliers,56000
119,851302273,56,2021-01-08,"Acquisition, construction, propriété, gestion, administration, entretien, exploitation par bail ou autrement, ainsi que mise à disposition à titre gratuit au profit des associés de tous immeubles ou droits immobiliers.",68.20B,Location de terrains et d'autres biens immobiliers,56870
120,802557330,56,2021-01-08,"Acquisition, rénovation, aménagement, administration, exploitation par bail, location ou autrement de tous immeubles bâtis ou non dont elle pourrait devenir propriétaire, par voie d'acquisition, échange, apport ou autrement",68.20B,Location de terrains et d'autres biens immobiliers,56000
121,890613904,58,2021-01-08,"La société a pour objet l'exploitation d'une officine de pharmacie sise à Chateauneuf Val de Bargis (58350), Grande Rue",47.73Z,Commerce de détail de produits pharmaceutiques en magasin spécialisé,58350
122,813638954,58,2021-01-08,Activité de sécurité privée,APE Non Diffusable,APE Non Diffusable,58000
123,814847141,58,2021-01-08,Vente d'accessoires et bijoux pour femme en ligne (site E-commerce),APE Non Diffusable,APE Non Diffusable,58300
124,892451196,58,2021-01-08,"La brasserie artisanale, la fabrication de bières et de toute autre boisson, la distribution et le commerce de ces boissons, y compris sur les marchés et foires",11.05Z,Fabrication de bière,58320
125,892387283,58,2021-01-08,non renseignee,70.10Z,Activités des sièges sociaux,non renseigne
126,892457466,58,2021-01-08,"La prise d'intérêts et la participation financière sous quelque forme que ce soit par quelque moyen que ce soit dans toutes entreprises, établissements, groupements, sociétés civiles, commerciales créées ou à créer ou autres, français ou étrangers",64.20Z,Activités des sociétés holding,58000
127,892456914,58,2021-01-08,"Garage automobile pour réparation, achat, vente de tous véhicules à moteur",70.10Z,Activités des sièges sociaux,58270
128,892462797,58,2021-01-08,"L'achat, la vente et la location d'emplacements de stockage et de stationnement",68.20B,Location de terrains et d'autres biens immobiliers,58000
129,824911168,58,2021-01-08,L'import Export production ventes de produits et services non réglementés,46.90Z,Commerce de gros (commerce interentreprises) non spécialisé,58500
130,892178955,59,2021-01-08,"Remorquage de véhicules, ramassage de débris et de ferrailles",APE Non Diffusable,APE Non Diffusable,59620
131,892479049,59,2021-01-08,"Épicerie fine, vente de produits locaux, légumes, confitures",47.29Z,Autres commerces de détail alimentaires en magasin spécialisé,59300
132,892459918,59,2021-01-08,"Acquisition, le cas échéant en vue de les revendre, exploitation, vente, échange, prise à bail ou location de tous immeubles (urbains ou ruraux bâtis ou non bâtis) ou droits immobiliers. Étude, mise au point et réalisation de tous projets immobiliers en vue de la construction, édification d'ensemble immobiliers, le tout destiné à la vente et accessoirement à la location; la prise de participation dans toutes opérations immobilières",68.20B,Location de terrains et d'autres biens immobiliers,59230
133,892457508,59,2021-01-08,"Terminal de cuisson, vente de produits de boulangerie, épicerie sans vente de boissons alcoolisées",10.71B,Cuisson de produits de boulangerie,59230
134,892453168,59,2021-01-08,"L'acquisition, l'exploitation par bail ou autrement, et la cession éventuelle de tous immeubles, biens et droits immobiliers, l'édification de toutes constructions, ainsi que la réfection et l'aménagement de celle existantes dans le cadre de son objet civil",68.20B,Location de terrains et d'autres biens immobiliers,59990
135,892457698,59,2021-01-08,Achat/revente de vêtements neufs.,46.42Z,Commerce de gros (commerce interentreprises) d'habillement et de chaussures,59200
136,892434788,59,2021-01-08,"Coursier, livreur de repas.",53.20Z,Autres activités de poste et de courrier,59150
137,890209778,59,2021-01-08,Livraison de repas à domicile à vélo,APE Non Diffusable,APE Non Diffusable,59130
138,892457540,59,2021-01-08,Coursier à vélo.,53.20Z,Autres activités de poste et de courrier,59000
139,892450669,59,2021-01-08,Livraison de repas et de courses à domicile à vélo.,53.20Z,Autres activités de poste et de courrier,59650
140,892446576,59,2021-01-08,Commerce de produits divers non réglementés,47.89Z,Autres commerces de détail sur éventaires et marchés,59800
141,820651875,59,2021-01-08,Achat revente produits et accessoires pour fumeur E commerce.,APE Non Diffusable,APE Non Diffusable,59890
142,418593364,59,2021-01-08,Commerce de bijoux ethniques anciens.,47.91B,Vente à distance sur catalogue spécialisé,59800
143,892453960,59,2021-01-08,"Holding, acquisition, vente, disposition, administration, gestion d'un portefeuille d'actions, de parts sociales, toutes valeurs mobilières; toutes prestations de services et conseils aux personnes physiques et morales",64.20Z,Activités des sociétés holding,59130
144,892459256,59,2021-01-08,"Le développement, la production et la commercialisation de robots, de tous équipements et machines destinés à la désinfection de locaux ; La prise, l'acquisition, l'exploitation ou la cession de tous procédés, brevets et droits de propriété intellectuelle concernant ces activités.",28.99B,Fabrication d'autres machines spécialisées,59800
145,892441239,59,2021-01-08,"Gestion patrimoniale de titres de sociétés ou portefeuille d'actions, d'obligations ou toutes autres valeurs mobilières, propriété, administration et exploitation de tous immeubles bâtis ou non bâtis dont elle pourrait devenir propriétaire.",66.30Z,Gestion de fonds,59560
146,892442377,59,2021-01-08,"Acquisition, vente, administration, disposition, gestion par location ou autrement de tous immeubles bâtis ou à bâtir ; souscription de tout emprunt pour le compte de la société, octroi de toutes garanties.",68.20B,Location de terrains et d'autres biens immobiliers,59830
147,892455940,59,2021-01-08,"Entreprise générale de bâtiment. Construction, rénovation, gros oeuvre et second oeuvre du bâtis. Economiste de la construction. Pilotage chantier. Consulting et formation. Apporteur d'affaires.",43.99C,Travaux de maçonnerie générale et gros œuvre de bâtiment,59100
148,892456823,59,2021-01-08,Négoce de fruits et légumes.,46.31Z,Commerce de gros (commerce interentreprises) de fruits et légumes,59160
149,892441510,59,2021-01-08,"Holding, acquisition, vente, disposition, administration et gestion d'un portefeuille d'actions, de parts sociales et toutes valeurs mobilières ; toutes prestations de services et conseils aux personnes physiques et morales",64.20Z,Activités des sociétés holding,59910
150,892447467,59,2021-01-08,Exercice de la profession d'architecte et d'urbaniste et en particulier de la fonction de maître d'oeuvre et toutes missions se rapportant à l'acte de bâtir.,71.11Z,Activités d'architecture,59000
151,892455593,59,2021-01-08,"Activités d'exploitation, d'entretien et d'accès à des installations de transmission de la voix, de données, de textes, de sons et d'images en utilisant une infrastructure de télécommunications filaires.",61.10Z,Télécommunications filaires,59650
152,892453531,59,2021-01-08,Acquisition et location immobilière.,68.20B,Location de terrains et d'autres biens immobiliers,59700
153,892455999,59,2021-01-08,"Holding, acquisition, vente, disposition, administration et gestion d'un portefeuille d'actions, de parts sociales et toutes valeurs mobilières ; prestations de services et conseils aux personnes physiques et morales.",66.30Z,Gestion de fonds,59118
154,892496324,59,2021-01-08,"Cafeteria, brasserie, restauration.",56.10B,Cafétérias et autres libres-services,59000
155,892440363,59,2021-01-08,"Construction, entretien, amélioration d'un immeuble situé à Margerides (19200) ; administration, mise en valeur et exploitation des biens sociaux, par location ou mise à disposition ; obtention de financements à cet effet.",68.20B,Location de terrains et d'autres biens immobiliers,59175
156,892478421,59,2021-01-08,"Activité de promotion immobilière et de vente de tous immeubles a usage D habitation, commercial, industriel ou professionnel, de lotisseur, d'aménageur et de marchand de biens",41.10A,Promotion immobilière de logements,59710
157,892457250,59,2021-01-08,non renseignee,47.25Z,Commerce de détail de boissons en magasin spécialisé,non renseigne
158,892478082,59,2021-01-08,"Acquisition, location, gestion et exploitation de tous immeubles ou droits immobiliers",68.20B,Location de terrains et d'autres biens immobiliers,59000
159,892478629,59,2021-01-08,"Acquisition gestion exploitation par location ou autrement, à l'exception de la location en meublé, de tous biens et droits immobiliers",68.20B,Location de terrains et d'autres biens immobiliers,59130
160,892479130,59,2021-01-08,"Acquisition par voie d'achat ou d'apport, propriété, mise en valeur, transformation, construction, aménagement, construction, aménagement, administration et location de tous biens et droits immobiliers.",68.20B,Location de terrains et d'autres biens immobiliers,59910
161,892441262,59,2021-01-08,non renseignee,70.10Z,Activités des sièges sociaux,non renseigne
162,892441361,59,2021-01-08,"L'activité de holding, la prise de participations, détention de titres dans toutes société et gestion active des dites participations ; la réalisation de prestations de services de toutes natures et sous touts formes au profit de ses filiales et société apparentées et plus particulièrement dans les domaines comptables, administratifs, financiers, juridiques, techniques, commerciaux et de gestion.",66.30Z,Gestion de fonds,59237
163,892480104,59,2021-01-08,"Activité de restauration, incluant la vente de boissons alcoolisées, traiteur, et de manière générale la préparation, la fabrication, la commercialisation et la livraison de produits alimentaires à consommer sur place ou à emporter ; Acquisition, création, concession et exploitation, sous quelque forme que ce soit et notamment par franchise, de toutes marques, brevets, licences, savoir-faire",56.10A,Restauration traditionnelle,59800
164,892443607,59,2021-01-08,"L'acquisition, la vente, l'administration et la gestion par location ou autrement de tous immeubles et biens immobiliers.",68.20A,Location de logements,59262
165,892496639,59,2021-01-08,"Services administratif de bureau quotidien, l'enregistrement et l'archivage des documents, déclarations sur internet, les activités liées au personnel, pour le compte de tiers.",82.11Z,Services administratifs combinés de bureau,59800
166,892457235,59,2021-01-08,"Acquisition, propriété, construction, aménagement, location de biens immobiliers.",68.20B,Location de terrains et d'autres biens immobiliers,59130
167,892460064,59,2021-01-08,"Acquisition, vente et location de biens immobiliers",68.20B,Location de terrains et d'autres biens immobiliers,59000
168,892456195,59,2021-01-08,"Acquisition, construction, transformation, aménagement, détention, mise en valeur, administration, exploitation, gestion par location ou par tout autre moyen, de tout bien ou droit immobilier, bâti ou non.",68.20B,Location de terrains et d'autres biens immobiliers,59290
169,892462466,59,2021-01-08,non renseignee,70.10Z,Activités des sièges sociaux,non renseigne
170,892481417,59,2021-01-08,Acquisition et mise à disposition immobilière,68.32B,Supports juridiques de gestion de patrimoine immobilier,59290
171,892441981,59,2021-01-08,"L'acquisition, l'administration et l'exploitation par bail, location ou autrement d'un immeuble et de tous autres immeubles bâtis ou non bâtis.",68.20B,Location de terrains et d'autres biens immobiliers,59112
172,892542614,59,2021-01-08,Exercice en commun de la profession d'avocat,69.10Z,Activités juridiques,59700
